Archaea	Bacteria	Eukaryotes	Viruses
	4310.0	6806.0	242.0
	505.0	11236.0	3.0
	2593.0	14147.0	5.0
	2492.0	21448.0	4.0
	3230.0	11231.0	1.0
	632.0	2687.0	6.0
	3798.0	48305.0	281.0
	1726.0	18107.0	2.0
	3880.0	13030.0	70.0
	2227.0	10990.0	75.0
	2616.0	20340.0	80.0
	5810.0	11420.0	6.0
	529.0	11244.0	4.0
	4327.0	24059.0	3.0
	4063.0	5997.0	3.0
	805.0	12196.0	55.0
	4739.0	12138.0	4.0
	2220.0	22025.0	7.0
	1959.0	10471.0	4.0
	3730.0	12169.0	6.0
	5357.0	18035.0	1.0
	2106.0	11680.0	5.0
	2663.0	9193.0	69.0
	5960.0	8763.0	83.0
	3568.0	12318.0	5.0
	4817.0	4966.0	5.0
	5548.0	17172.0	6.0
	2334.0	12317.0	2.0
	3220.0	7163.0	8.0
	5730.0	22192.0	59.0
	1717.0	14545.0	4.0
	1812.0	20408.0	5.0
	5217.0	12674.0	3.0
	4164.0	26965.0	4.0
	3813.0	19924.0	76.0
	2724.0	10050.0	236.0
	3298.0	21679.0	2.0
	4429.0	14400.0	6.0
	1884.0	13592.0	2.0
	4223.0	9079.0	2.0
	3153.0	31016.0	5.0
	3864.0	20170.0	173.0
	3225.0	22725.0	4.0
	3331.0	16567.0	7.0
	3257.0	13106.0	5.0
	4754.0	18598.0	144.0
	2061.0	9145.0	2.0
	1876.0	19525.0	3.0
	3028.0	10396.0	3.0
	3036.0	9222.0	84.0
	3855.0	30270.0	68.0
	3259.0	2147.0	3.0
	4276.0	13568.0	63.0
	3885.0	13630.0	7.0
	3519.0	2431.0	2.0
	4213.0	5915.0	103.0
	966.0	14680.0	2.0
	2099.0	5136.0	95.0
	2858.0	10205.0	79.0
	1874.0	11156.0	6.0
	3827.0	13351.0	2.0
	3683.0	12389.0	8.0
	679.0	12647.0	115.0
	2530.0	10558.0	67.0
	2404.0	11763.0	4.0
	3815.0	8255.0	1.0
	2263.0	11255.0	7.0
	3663.0	103.0	66.0
	2630.0	22688.0	54.0
	2545.0	31506.0	171.0
	4332.0	58053.0	5.0
	3865.0	12074.0	1.0
	4253.0	12981.0	4.0
	3669.0	34431.0	3.0
	1797.0	13076.0	6.0
	2626.0	15806.0	81.0
	3760.0	31246.0	269.0
	2255.0	11541.0	123.0
	4019.0	17309.0	2.0
	2657.0	5006.0	10.0
	3807.0	15861.0	3.0
	3343.0	4459.0	1.0
	4871.0	7388.0	4.0
	4467.0	13191.0	6.0
	1765.0	26434.0	7.0
	3580.0	10841.0	53.0
	3374.0	10680.0	59.0
	8201.0	2241.0	40.0
	5527.0	5726.0	10.0
	4617.0	14121.0	4.0
	3810.0	11402.0	3.0
	4119.0	4160.0	4.0
	3061.0	8745.0	6.0
	4773.0	11773.0	4.0
	3984.0	4490.0	6.0
	3448.0	26358.0	5.0
	3099.0	12021.0	1.0
	1860.0	14277.0	13.0
	6704.0	28108.0	41.0
	2270.0	13707.0	149.0
